Tareas,,,,DICIEMBRE 25,,,,ENERO 26,,,,,FEBRERO 26,,,,MARZO 26,,,,,,,,,,,,,,,,,,,
,,,,W49,W50,W51,W52,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,,,,,,,,,,,,,,,
Categoría,Nombre,Inicio,Fin,30/11,07/12,14/12,21/12,28/12,04/01,11/01,18/01,25/01,01/02,08/02,15/02,22/02,01/03,08/03,15/03,22/03,29/03,05/04,12/04,19/04,26/04,03/05,10/05,17/05,24/05,31/05,07/06,14/06,21/06,28/06,05/07,12/07
Organización y Gestión,Formación de Equipos,12/12,27/12,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organización y Gestión,Evaluación de requisitos,12/12,31/12,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organización y Gestión,Organizacion y repartición de roles y tareas,30/12,31/12,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arquitectura,Arquitectura general del proyecto,12/12,27/12,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diseño y Hardware,Diseño eléctrico del robot,31/12,24/01,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,
Organización y Gestión,Presupuesto y hardware,12/12,31/01,,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,
Organización y Gestión,"Crear Trello, Repositorio github y proyectos base",10/01,15/01,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Firmware y Cableado,Desarrollo de componentes esenciales ESP32,10/01,23/01,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,
Software,Desarrollo de contenedores docker Raspberry,10/01,17/01,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Organización y Gestión,Busqueda patrocinadores,21/01,12/02,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,
Organización y Gestión,Hacer pedidos y compras,31/12,05/03,,,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diseño y Hardware,Diseño 3D cada componente,26/01,16/02,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,
Diseño y Hardware,Diseño 3D distribucion de componentes,09/02,25/02,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,
Diseño y Hardware,Diseño 3D de monturas y chasis,25/02,09/03,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,
Diseño y Hardware,Impresión 3D,25/02,09/03,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firmware y Cableado,Conexiones y pruebas eléctricas,09/03,09/03,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Firmware y Cableado,Desarrollo componente lectura encoders,23/01,06/02,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,
Software,Desarrollo sistema de telemetria software,20/01,30/01,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,
Firmware y Cableado,Desarrollo sistema de telemetria firmware,20/01,30/01,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,
Software,Configuracion RPI y Cámara,08/01,14/01,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Software,Desarrollo vision curvatura linea (siguelineas),04/02,04/03,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,
Firmware y Cableado,Desarrollo componente controlador servo,06/02,09/03,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,
Firmware y Cableado,Desarrollo componente controlador motores,04/03,09/03,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organización y Gestión,Documento preentrega parte 1,18/02,09/03,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,
Organización y Gestión,Documento preentrega parte 2,09/03,09/03,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firmware y Cableado,Desarrollo firmware siguelineas,09/03,09/03,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Firmware y Cableado,Desarrollo firmware sumo,09/03,09/03,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Firmware y Cableado,Desarrollo componente Lidar,09/03,09/03,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Firmware y Cableado,Desarrollo componente Sensor Linea,18/02,09/03,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,
Firmware y Cableado,Desarrollo componente consumo y voltaje,09/03,09/03,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Firmware y Cableado,Desarrollo maquina de estados firmware,09/03,09/03,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
