,,,,,,,
,,,,,,,
,Categoría,Descripción,Proveedor,Enlace,Precio,Unidades,Precio/Ud
,Ordenadores,Raspberry PI 5 8GB,RobotShop,https://eu.robotshop.com/es/products/computadora-monoplaca-raspberry-pi-5-de-8gb?qd=411459efd67b943ac867af54530b6f01,"109,94 €",1,"109,94 €"
,Ordenadores,Raspberry PI 5 8GB,Farnell España,https://es.farnell.com/raspberry-pi/rpi5-8gb-single/placa-rpi-5-2-4ghz-8gb-arm-cortex/dp/4256000,"99,16 €",1,"99,16 €"
,Ordenadores,Raspberry PI 5 8GB,Mouser Electronics,https://www.mouser.es/ProductDetail/Raspberry-Pi/SC1432?qs=4dK74SdgGtykYzUsGkX7lw%3D%3D,"81,70 €",1,"81,70 €"
,Ordenadores,Raspberry PI 5 4GB,RobotShop,https://eu.robotshop.com/es/products/computadora-monoplaca-raspberry-pi-5-de-4gb?qd=411459efd67b943ac867af54530b6f01,"82,45 €",1,"82,45 €"
,Ordenadores,Raspberry PI 5 4GB,Farnell España,https://es.farnell.com/raspberry-pi/rpi5-4gb-single/placa-rpi-5-2-4ghz-4gb-arm-cortex/dp/4255998,"73,06 €",1,"73,06 €"
,Ordenadores,Raspberry PI 5 4GB,Mouser Electronics,https://www.mouser.es/ProductDetail/Raspberry-Pi/SC1432?qs=4dK74SdgGtykYzUsGkX7lw%3D%3D,"60,20 €",1,"60,20 €"
,Ordenadores,Raspberry PI 4B 8GB,RobotShop,https://eu.robotshop.com/es/products/placa-de-computadora-raspberry-pi-4-b-de-8gb?qd=11350476af1818143f70d09c5201f726,"116,20 €",1,"116,20 €"
,Ordenadores,Raspberry PI 4B 8GB,Farnell España,https://es.farnell.com/raspberry-pi/rpi4-modbp-4gb/rpi-computer-rpi-4-mod-b-4gb-1/dp/3051887,"88,72 €",1,"88,72 €"
,Ordenadores,Raspberry PI 4B 4GB,RobotShop,https://eu.robotshop.com/es/products/placa-computadora-raspberry-pi-4-b-4g?qd=11350476af1818143f70d09c5201f726,"84,51 €",1,"84,51 €"
,Ordenadores,Raspberry PI 4B 4GB,Farnell España,https://es.farnell.com/raspberry-pi/rpi4-modbp-4gb/rpi-computer-rpi-4-mod-b-4gb-1/dp/3051887,"62,63 €",1,"62,63 €"
,Controladores,Waveshare ESP32-P4-WIFI6-DEV-KIT,AliExpress,"https://es.aliexpress.com/item/1005009667443803.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.1.3f80qy97qy97N7&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=4e4ba120-b603-4382-96d8-2d0f59ef9a23&_t=gps-id:pcDetailTopMoreOtherSeller,scm-url:1007.40050.354490.0,pvid:4e4ba120-b603-4382-96d8-2d0f59ef9a23,tpp_buckets:668%232846%238108%231977&pdp_ext_f=%7B%22order%22%3A%2239%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21EUR%2151.09%2122.99%21%21%21411.68%21185.25%21%40211b65de17668500816138463e992b%2112000049812504572%21rec%21ES%21%21ABX%211%210%21n_tag%3A-29910%3Bd%3A9f310ff5%3Bm03_new_user%3A-29895&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005009667443803%7C_p_origin_prod%3A","22,99 €",1,"22,99 €"
