,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Categoría,Elección,Tenemos (Uds),Uds,Proveedor,Enlace,€/Ud,€ Total,Total Compra Minima,Gasto No Afiliados,Proveedor Afiliado,Enlace Afiliado,€/Ud Afiliado,€ Total Afiliado,Total Compra Minima Afiliados,,Proveedores Baratos,Total,SUM de Total Compra Minima,SUM de Gasto No Afiliados,,Proveedor Afiliado,Total,,Categoría,SUM de € Total,SUM de € Total Afiliado
,Actuadores,Smart Car Kit CC de JGA25-370 12V,2,2,AliExpress,"https://es.aliexpress.com/item/1005001279982165.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.2.e28dYrraYrrarX&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=c7dcc4cb-2327-45c3-abac-e480a61931bd&_t=gps-id:pcDetailTopMoreOtherSeller,scm-url:1007.40050.354490.0,pvid:c7dcc4cb-2327-45c3-abac-e480a61931bd,tpp_buckets:668%232846%238109%231935&pdp_ext_f=%7B%22order%22%3A%22241%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21EUR%2110.41%215.91%21%21%2111.98%216.80%21%40211b619a17668529693584942e8dec%2112000043931619198%21rec%21ES%21%21ABXZ%211%210%21n_tag%3A-29910%3Bd%3A9f310ff5%3Bm03_new_user%3A-29895%3BpisId%3A5000000187636333&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005001279982165%7C_p_origin_prod%3A#nav-specification","9,79 €","19,58 €","0,00 €","0,00 €",,,,"0,00 €","0,00 €",,AliExpress,"116,91 €","70,06 €","6,05 €",,,"0,00 €",,Actuadores,"23,94 €","0,00 €"
,Actuadores,Servo Metal MG996R 190,1,1,AliExpress,https://es.aliexpress.com/item/1005007453439275.html?spm=a2g0o.productlist.main.4.da0253a0Pz1uNQ&algo_pvid=d5ca3fc8-1bdd-4f01-9f7b-b8cd65956b6c&algo_exp_id=d5ca3fc8-1bdd-4f01-9f7b-b8cd65956b6c-3&pdp_ext_f=%7B%22order%22%3A%22268%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%2114.08%210.99%21%21%21113.46%218.01%21%40210385a817668517234842169e90ab%2112000040821594580%21sea%21ES%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A9f310ff5%3Bm03_new_user%3A-29895%3BpisId%3A5000000187636333&curPageLogUid=Ye4Ib77nsycN&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007453439275%7C_p_origin_prod%3A,"2,99 €","2,99 €","0,00 €","0,00 €",,,,"0,00 €","0,00 €",,Amazon,"8,00 €","0,00 €","0,00 €",,Filament2Print,"11,57 €",,Baterías,"30,99 €","30,99 €"
,Actuadores,Altavoz 8 ohm 2W,2,1,AliExpress,https://es.aliexpress.com/item/1005008626624201.html?spm=a2g0o.cart.0.0.23ee7a9dTql3Uq&mp=1&pdp_npi=6%40dis%21EUR%21EUR%201.49%21EUR%201.37%21%21EUR%201.24%21%21%21%40210385a817673732693488585e2c52%2112000049446471557%21ct%21ES%21727181518%21%211%210%21&gatewayAdapt=glo2esp,"1,37 €","1,37 €","0,00 €","0,00 €",,,,"0,00 €","0,00 €",,Mouser Electronics,"81,70 €","81,70 €","0,00 €",,Mouser Electronics,"184,04 €",,Cableado y Conectores,"6,17 €","6,09 €"
,Baterías,Batería 4s 2300 mah,0,1,RC Innovation,"https://rc-innovations.es/en/shop/taa23004s75x6-tattu-2300mah-14-8v-75c-lipo-battery-6364?category=495&attrib=&attrib=98-531&attrib=#attr=8517,8516,8515","30,99 €","30,99 €","30,99 €","0,00 €",RC Innovation,"https://rc-innovations.es/en/shop/taa23004s75x6-tattu-2300mah-14-8v-75c-lipo-battery-6364?category=495&attrib=&attrib=98-531&attrib=#attr=8517,8516,8515","30,99 €","30,99 €","30,99 €",,RC Innovation,"30,99 €","30,99 €","0,00 €",,RC Innovation,"30,99 €",,Controladores,"17,96 €","0,00 €"
,Cableado y Conectores,Conector 2 a 6 32A,2,2,AliExpress,https://es.aliexpress.com/item/1005005805414976.html?spm=a2g0o.order_list.order_list_main.77.33f8194dFTgRgR&gatewayAdapt=glo2esp,"0,44 €","0,87 €","0,00 €","0,00 €",,,,"0,00 €","0,00 €",,RobotShop,"1,13 €","3,76 €","0,00 €",,RobotShop,"33,58 €",,Materiales y Mecanica,"8,80 €","11,57 €"
,Cableado y Conectores,Kit Cable Cable 16AWG 1m,0,2,RobotShop,https://eu.robotshop.com/es/products/cable-phidgets-2-conductores-16awg-negro?variant=49603940811088,"0,57 €","1,13 €","3,76 €","0,00 €",RobotShop,https://eu.robotshop.com/es/products/cable-phidgets-2-conductores-16awg-negro?variant=49603940811088,"1,88 €","3,76 €","3,76 €",,Suma total,"238,73 €","186,51 €","6,05 €",,Suma total,"260,18 €",,Modulos Electronica,"6,14 €","0,00 €"
,Cableado y Conectores,Portafusibles 5x20mm,1,1,AliExpress,https://es.aliexpress.com/item/1005009889451866.html?spm=a2g0o.cart.0.0.23537a9dXo3X6s&mp=1&pdp_npi=6%40dis%21EUR%21EUR%203.23%21EUR%201.55%21%21EUR%201.42%21%21%21%4021038e1e17673727534923723ef4d0%2112000050489091348%21ct%21ES%21727181518%21%211%210%21&gatewayAdapt=glo2esp,"0,31 €","0,31 €","0,00 €","0,00 €",,,,"0,00 €","0,00 €",,,,,,,,,,Ordenadores,"81,70 €","81,70 €"
,Cableado y Conectores,Interruptor KCD3 2 pines 15A,1,1,AliExpress,https://es.aliexpress.com/item/4000851587856.html?spm=a2g0o.cart.0.0.3d3d7a9d0O4O75&mp=1&pdp_npi=6%40dis%21EUR%21EUR%202.71%21EUR%202.59%21%21EUR%202.34%21%21%21%402103835c17673756412375561ee976%2110000009388037735%21ct%21ES%21727181518%21%211%210%21&gatewayAdapt=glo2esp,"0,26 €","0,26 €","0,00 €","0,00 €",,,,"0,00 €","0,00 €",,,,,,,,,,Sensores,"67,30 €","146,34 €"
,Cableado y Conectores,Kit Cable Colores 24AWG 1m,0,10,AliExpress,https://es.aliexpress.com/item/1005005888991575.html?spm=a2g0o.productlist.main.9.7eaf7b6akziLuB&algo_pvid=9581bfbc-4448-4921-9e4a-fe0fdbe14490&algo_exp_id=9581bfbc-4448-4921-9e4a-fe0fdbe14490-8&pdp_ext_f=%7B%22order%22%3A%224862%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%215.93%211.43%21%21%2147.80%2111.54%21%40211b680e17668538655168758e6259%2112000034717501746%21sea%21ES%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A9f310ff5%3Bm03_new_user%3A-29895%3BpisId%3A5000000187636333&curPageLogUid=JHdXoStmcICH&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005888991575%7C_p_origin_prod%3A,"0,17 €","1,70 €","8,49 €","0,00 €",RobotShop,https://eu.robotshop.com/es/products/kit-de-cable-de-conexion-24awg-de-plusivo-6-colores-11m-cada-uno?variant=42600749858984,"0,23 €","2,33 €","15,39 €",,,,,,,,,,Suma total,"243,00 €","276,69 €"
,Cableado y Conectores,Cable de red ethernet 10cm,0,1,AliExpress,https://es.aliexpress.com/item/1005006256986557.html?invitationCode=T05heGNOaWc2cSt6VVduVWFnMFNRNTZVaW1aRlMzczFYSTBKT3A4S0VMd2pmdlBzNkVmWTlBPT0&srcSns=sns_WhatsApp&spreadType=socialShare&social_params=61411278259&bizType=ProductDetail&spreadCode=T05heGNOaWc2cSt6VVduVWFnMFNRNTZVaW1aRlMzczFYSTBKT3A4S0VMd2pmdlBzNkVmWTlBPT0&aff_fcid=19db50bbd0334258b448066435039bc6-1769535108015-08808-_EINbEKg&tt=MG&aff_fsk=_EINbEKg&aff_platform=default&sk=_EINbEKg&aff_trace_key=19db50bbd0334258b448066435039bc6-1769535108015-08808-_EINbEKg&shareId=61411278259&businessType=ProductDetail&platform=AE&terminal_id=e2eba0acee7941048094e09f038bfe9f&afSmartRedirect=y,"1,90 €","1,90 €","1,90 €","1,90 €",,,,"0,00 €","0,00 €",,,,,,,,,,,,
